1	0	v	z	4.4736
1	0	v	g	5.63377
1	0	v	b	4.84965
1	0	v	p	6.2804
1	0	v	m	4.98941
1	0	v	f	6.59885
1	0	v	t	5.73385
1	0	v	a	4.94062
1	0	y	x	10.1119
1	0	y	v	6.85379
1	0	y	j	5.46749
1	0	y	a	5.69304
1	0	y	h	4.36249
1	0	y	<sil>	5.72986
1	0	y	y	0.124238
1	0	y	w	4.52839
1	0	y	o	6.74459
1	0	y	i	4.64805
1	0	y	l	4.77916
1	0	y	n	4.67816
1	0	y	f	6.93383
1	0	y	p	6.50097
1	0	y	g	5.49676
1	0	y	s	5.68107
1	0	y	d	5.70516
1	0	y	k	5.07493
1	0	y	r	5.57928
1	0	y	e	4.9024
1	0	y	u	5.2997
1	0	y	m	5.31609
1	0	y	z	5.42975
1	0	y	b	6.19986
1	0	y	c	7.11615
1	0	y	t	5.2997
1	0	x	m	5.36129
1	0	x	n	5.36129
1	0	x	z	4.66815
1	0	x	y	5.36129
1	0	x	s	5.36129
1	0	x	c	4.66815
1	0	x	x	0.173906
1	0	x	i	3.28185
1	0	x	a	4.26268
1	0	x	t	4.66815
1	0	x	j	5.36129
1	0	x	k	3.56953
1	0	x	l	5.36129
1	0	x	e	3.975
1	0	x	b	5.36129
1	0	z	i	5.73334
1	0	z	l	4.46719
1	0	z	o	6.7079
1	0	z	y	4.75487
1	0	z	w	5.33419
1	0	z	c	7.06458
1	0	z	b	5.51398
1	0	z	n	4.22299
1	0	z	h	4.91614
1	0	z	f	6.61259
1	0	z	j	5.39957
1	0	z	t	4.72003
1	0	z	p	6.04007
1	0	z	g	5.39957
1	0	z	a	5.6963
1	0	z	s	4.40033
1	0	z	<sil>	5.2263
1	0	z	z	0.143411
1	0	z	d	4.8361
1	0	z	r	5.49894
1	0	z	v	5.49894
1	0	z	k	4.80579
1	0	z	e	5.75239
1	0	z	u	5.89697
1	0	z	m	5.41317
1
0	0	</w>	</w>
0	0	'	'
0	0	-	-
0	0	<sil>	l	7.83456
0	0	<sil>	z	9.10307
0	0	<sil>	o	7.21013
0	0	<sil>	n	6.94359
0	0	<sil>	q	12.6866
0	0	<sil>	p	8.49693
0	0	<sil>	s	7.60519
0	0	<sil>	r	7.81906
0	0	<sil>	u	6.478
0	0	<sil>	t	7.43957
0	0	<sil>	w	8.0422
0	0	<sil>	v	9.31929
0	0	<sil>	y	8.7163
0	0	<sil>	x	11.588
0	0	<sil>	m	7.0518
0	0	<sil>	j	8.38252
0	0	<sil>	k	7.3253
